,WYEAR,Flow,Onset,FirstPeak,Magnitude
0,1995,0.5001794871794873,163,196,1.79
1,1996,0.6988770491803281,166,201,7.12
2,1997,0.6578931506849318,174,187,9.82
3,1998,0.27850136986301366,140,149,1.29
4,1999,0.9804958904109585,167,183,5.5
5,2000,0.22066939890710385,157,188,2.06
6,2001,0.8311890410958904,173,189,5.89
7,2002,0.8121917808219175,177,198,3.04
8,2003,0.31056986301369877,165,202,1.14
9,2004,0.523172131147541,175,185,2.62
10,2005,0.5379917808219179,179,187,7.94
11,2006,0.3922493150684933,163,182,5.82
12,2007,0.29966301369863024,171,182,6.76
13,2008,0.43778961748633893,180,204,8.88
14,2009,0.3673780821917808,166,176,4.49
15,2010,0.32366575342465753,159,220,1.87
16,2011,0.5945452054794518,136,192,10.13
17,2012,0.37567759562841513,162,174,1.56
18,2013,0.3847205479452054,179,211,13.51
19,2014,0.6031835616438356,186,194,4.68
20,2015,0.2560904109589043,160,222,4.43
21,2016,0.579062841530055,125,167,6.8
